,CI_Cat,CI_Subcat,Incident_ID,Impact,Urgency,Priority,number_cnt,Category,No_of_Reassignments,Open_Time,Resolved_Time,Close_Time,Closure_Code,No_of_Related_Interactions,Handle_Time_hrs,Ticket_Age,Open_Hour,Open_Day,Open_Month,Open_Year,Is_Weekend
22,application,Web Based Application,IM0000041,4,4,4.0,0.529580963,incident,2.0,2013-01-22 16:38:00,2013-11-08 14:55:00,2013-11-08 14:55:00,Other,1.0,6958.283333333334,289,16,1,1,2013,False
23,application,Web Based Application,IM0000042,4,4,4.0,0.898981779,incident,12.0,2013-01-23 14:39:00,2013-11-08 15:21:00,2013-11-08 15:22:00,No error - works as designed,1.0,6936.716666666666,289,14,2,1,2013,False
24,subapplication,Web Based Application,IM0000045,4,4,4.0,0.146862046,incident,7.0,2013-01-30 16:37:00,2014-01-27 12:33:00,2014-01-27 12:33:00,Software,1.0,8683.933333333332,361,16,2,1,2013,False
25,subapplication,Web Based Application,IM0000046,4,4,4.0,0.941495195,incident,3.0,2013-01-31 17:27:00,2014-02-12 09:05:00,2014-02-12 09:05:00,Other,1.0,9039.633333333333,376,17,3,1,2013,False
26,application,Web Based Application,IM0000047,4,4,4.0,0.076103079,incident,4.0,2013-02-04 14:38:00,2014-01-02 15:22:00,2014-01-02 15:22:00,Other,1.0,7968.733333333334,332,14,0,2,2013,False
27,application,Server Based Application,IM0000048,5,5,5.0,0.748361437,request for information,0.0,2013-02-06 14:07:00,2013-10-17 14:00:00,2013-10-17 14:00:00,No error - works as designed,2.0,6071.883333333333,252,14,2,2,2013,False
28,application,Server Based Application,IM0000049,5,5,5.0,0.246183023,request for information,11.0,2013-02-08 10:47:00,2013-10-17 15:40:00,2013-10-17 15:40:00,Other,1.0,6028.883333333333,251,10,4,2,2013,False
29,application,Server Based Application,IM0000053,5,5,5.0,0.85372157,request for information,2.0,2013-02-18 11:59:00,2013-10-10 12:53:00,2013-12-04 14:00:00,Other,2.0,6938.016666666666,289,11,0,2,2013,False
30,application,Web Based Application,IM0000055,4,4,4.0,0.264909486,incident,9.0,2013-02-19 11:52:00,2013-12-23 13:03:00,2013-12-23 13:04:00,Other,1.0,7369.2,307,11,1,2,2013,False
31,application,Web Based Application,IM0000056,4,4,4.0,0.243465909,incident,2.0,2013-02-20 10:14:00,2013-11-08 13:56:00,2013-11-08 13:57:00,Other,1.0,6267.716666666666,261,10,2,2,2013,False
32,subapplication,Web Based Application,IM0000057,4,4,4.0,0.121926581,incident,1.0,2013-02-25 16:03:00,2014-03-12 10:15:00,2014-03-12 10:16:00,Other,3.0,9114.216666666667,379,16,0,2,2013,False
33,application,Web Based Application,IM0000058,4,4,4.0,0.272361649,incident,2.0,2013-02-26 16:44:00,2013-11-12 13:40:00,2013-11-12 13:40:00,Other,1.0,6212.933333333333,258,16,1,2,2013,False
34,application,Web Based Application,IM0000059,4,4,4.0,0.153093248,incident,2.0,2013-02-28 12:23:00,2013-12-03 10:36:00,2013-12-03 10:36:00,Other,2.0,6670.216666666666,277,12,3,2,2013,False
35,application,Web Based Application,IM0000060,4,4,4.0,0.518267343,incident,0.0,2013-02-28 16:49:00,2013-11-20 16:38:00,2013-11-20 16:38:00,No error - works as designed,1.0,6359.816666666667,264,16,3,2,2013,False
36,subapplication,Web Based Application,IM0000061,5,5,5.0,0.433426008,request for information,3.0,2013-03-01 10:19:00,2013-10-10 12:53:00,2014-01-27 12:44:00,Software,2.0,7970.416666666667,332,10,4,3,2013,False
37,subapplication,Web Based Application,IM0000062,4,4,4.0,0.335109108,incident,2.0,2013-03-04 12:31:00,2013-11-08 15:33:00,2013-11-08 15:33:00,No error - works as designed,1.0,5979.033333333334,249,12,0,3,2013,False
38,application,Web Based Application,IM0000064,3,3,3.0,0.481872792,incident,4.0,2013-03-05 13:58:00,2013-11-08 15:35:00,2013-11-08 15:35:00,Software,1.0,5953.616666666667,248,13,1,3,2013,False
39,application,Server Based Application,IM0000067,5,5,5.0,0.719922533,incident,25.0,2013-03-11 09:08:00,2013-10-09 13:41:00,2013-10-09 13:41:00,Other,2.0,5092.55,212,9,0,3,2013,False
40,subapplication,Web Based Application,IM0000068,4,4,4.0,0.466746714,incident,8.0,2013-03-12 09:54:00,2013-11-08 15:34:00,2013-11-08 15:34:00,No error - works as designed,1.0,5789.666666666667,241,9,1,3,2013,False
41,application,Web Based Application,IM0000071,4,4,4.0,0.640788604,incident,4.0,2013-03-15 15:25:00,2014-01-06 11:50:00,2014-01-06 11:51:00,Other,2.0,7124.433333333333,296,15,4,3,2013,False
42,application,SAP,IM0000073,5,5,5.0,0.683291495,request for information,30.0,2013-03-21 14:54:00,2013-10-01 07:52:00,2013-10-01 07:52:00,Other,1.0,4648.966666666666,193,14,3,3,2013,False
43,subapplication,Web Based Application,IM0000074,3,3,3.0,0.695187047,incident,15.0,2013-03-26 12:23:00,2014-03-24 13:28:00,2014-03-24 13:28:00,Other,2.0,8713.083333333334,363,12,1,3,2013,False
44,subapplication,Web Based Application,IM0000075,4,4,4.0,0.588797918,incident,9.0,2013-03-27 10:07:00,2013-12-30 10:34:00,2013-12-30 10:36:00,Data,3.0,6672.483333333334,278,10,2,3,2013,False
45,application,SAP,IM0000078,5,5,5.0,0.775691867,request for information,37.0,2013-04-03 12:11:00,2013-10-17 11:43:00,2013-10-17 11:43:00,Software,1.0,4727.533333333334,196,12,2,4,2013,False
46,application,SAP,IM0000080,4,4,4.0,0.282283906,incident,26.0,2013-04-04 12:33:00,2014-01-16 14:20:00,2014-01-16 14:21:00,Other,2.0,6889.8,287,12,3,4,2013,False
47,application,Server Based Application,IM0000081,4,3,3.0,0.461804336,incident,7.0,2013-04-05 10:17:00,2013-12-30 10:39:00,2013-12-30 10:40:00,Other,1.0,6456.383333333333,269,10,4,4,2013,False
48,application,Web Based Application,IM0000082,4,4,4.0,0.039607326,incident,6.0,2013-04-05 10:19:00,2013-12-05 12:00:00,2013-12-05 12:00:00,Other,2.0,5857.683333333333,244,10,4,4,2013,False
49,application,Web Based Application,IM0000083,4,4,4.0,0.618856225,incident,2.0,2013-04-09 12:49:00,2013-11-08 15:36:00,2013-11-08 15:36:00,Software,1.0,5114.783333333334,213,12,1,4,2013,False
50,application,Web Based Application,IM0000084,4,4,4.0,0.572816912,incident,4.0,2013-04-10 13:20:00,2013-11-08 15:41:00,2013-11-08 15:41:00,No error - works as designed,1.0,5090.35,212,13,2,4,2013,False
51,application,Web Based Application,IM0000085,3,4,3.0,0.462625534,incident,4.0,2013-04-10 15:13:00,2013-11-08 15:46:00,2013-11-08 15:46:00,No error - works as designed,1.0,5088.55,212,15,2,4,2013,False
52,application,SAP,IM0000088,5,5,5.0,0.773604774,request for information,32.0,2013-04-16 11:07:00,2013-11-12 12:13:00,2013-11-12 12:13:00,Other,2.0,5041.1,210,11,1,4,2013,False
53,application,Client Based Application,IM0000089,4,4,4.0,0.001178621,incident,9.0,2013-04-16 14:51:00,2013-11-27 14:23:00,2013-11-27 14:23:00,Software,14.0,5399.533333333334,224,14,1,4,2013,False
54,application,Server Based Application,IM0000090,5,5,5.0,0.283634692,incident,1.0,2013-04-17 09:06:00,2014-01-22 16:19:00,2014-01-22 16:20:00,Unknown,1.0,6727.233333333334,280,9,2,4,2013,False
55,application,Server Based Application,IM0000091,4,4,4.0,0.485062587,incident,1.0,2013-04-17 14:31:00,2013-10-08 11:19:00,2013-10-08 11:25:00,Other,1.0,4172.9,173,14,2,4,2013,False
56,application,Server Based Application,IM0000092,5,5,5.0,0.603933029,request for information,12.0,2013-04-17 16:20:00,2014-01-30 09:19:00,2014-01-30 09:19:00,Other,1.0,6904.983333333334,287,16,2,4,2013,False
57,subapplication,Citrix,IM0000094,4,4,4.0,0.388681292,incident,4.0,2013-04-19 08:26:00,2013-10-16 12:20:00,2013-10-16 12:20:00,Software,2.0,4323.9,180,8,4,4,2013,False
58,application,Standard Application,IM0000095,4,4,4.0,0.523734033,incident,8.0,2013-04-22 12:07:00,2014-01-29 15:31:00,2014-01-29 15:31:00,Software,1.0,6771.4,282,12,0,4,2013,False
59,application,Web Based Application,IM0000098,4,5,4.0,0.895752799,incident,1.0,2013-04-24 15:24:00,2013-10-12 16:28:00,2013-10-12 16:28:00,Other,1.0,4105.066666666667,171,15,2,4,2013,False
60,application,Server Based Application,IM0000099,3,3,3.0,0.637701727,incident,1.0,2013-04-25 10:20:00,2013-12-09 14:32:00,2013-12-09 14:32:00,Other,1.0,5476.2,228,10,3,4,2013,False
61,application,Web Based Application,IM0000100,4,4,4.0,0.20113793,incident,8.0,2013-04-25 14:37:00,2013-11-12 13:32:00,2013-11-12 13:32:00,Other,1.0,4822.916666666667,200,14,3,4,2013,False
62,application,Web Based Application,IM0000101,4,4,4.0,0.268451314,incident,2.0,2013-04-25 14:51:00,2013-11-12 13:25:00,2013-11-12 13:26:00,Hardware,1.0,4822.583333333333,200,14,3,4,2013,False
63,application,Web Based Application,IM0000103,4,4,4.0,0.222209962,incident,4.0,2013-04-26 15:33:00,2013-11-12 13:33:00,2013-11-12 13:33:00,Other,1.0,4798.0,199,15,4,4,2013,False
64,application,Web Based Application,IM0000104,4,4,4.0,0.979540257,incident,4.0,2013-05-01 11:47:00,2013-11-12 13:34:00,2013-11-12 13:34:00,Other,1.0,4681.783333333334,195,11,2,5,2013,False
65,application,Web Based Application,IM0000105,5,5,5.0,0.109542654,incident,9.0,2013-05-03 12:00:00,2014-01-09 14:27:00,2014-01-09 14:27:00,Software,1.0,6026.45,251,12,4,5,2013,False
66,subapplication,Web Based Application,IM0000106,4,4,4.0,0.587225966,incident,4.0,2013-05-06 10:11:00,2013-11-12 13:35:00,2013-11-12 13:35:00,Other,1.0,4563.4,190,10,0,5,2013,False
67,application,Web Based Application,IM0000107,4,4,4.0,0.186114044,incident,2.0,2013-05-06 13:50:00,2013-11-12 14:03:00,2013-11-12 14:03:00,Unknown,1.0,4560.216666666666,190,13,0,5,2013,False
68,application,Server Based Application,IM0000109,4,4,4.0,0.982712191,incident,8.0,2013-05-07 11:44:00,2013-12-20 15:33:00,2013-12-20 15:33:00,Other,1.0,5451.816666666667,227,11,1,5,2013,False
69,application,Server Based Application,IM0000110,4,4,4.0,0.697089437,incident,3.0,2013-05-07 11:44:00,2014-01-07 09:50:00,2014-01-07 09:50:00,No error - works as designed,1.0,5878.1,244,11,1,5,2013,False
70,application,Web Based Application,IM0000111,4,4,4.0,0.296831585,incident,13.0,2013-05-07 14:04:00,2013-12-05 11:19:00,2013-12-05 11:19:00,Other,1.0,5085.25,211,14,1,5,2013,False
71,application,Client Based Application,IM0000112,5,5,5.0,0.965152363,incident,15.0,2013-05-07 15:04:00,2013-10-10 12:53:00,2013-12-09 08:42:00,Other,2.0,5177.633333333333,215,15,1,5,2013,False
72,application,Web Based Application,IM0000113,4,4,4.0,0.68115697,incident,8.0,2013-05-07 15:12:00,2013-12-05 11:15:00,2013-12-05 11:16:00,Other,1.0,5084.066666666667,211,15,1,5,2013,False
73,application,Server Based Application,IM0000114,5,5,5.0,0.06364679,request for information,8.0,2013-05-10 11:04:00,2013-10-21 11:48:00,2013-10-21 11:48:00,Other,2.0,3936.733333333333,164,11,4,5,2013,False
74,application,Web Based Application,IM0000115,3,3,3.0,0.232393197,incident,2.0,2013-05-13 11:19:00,2013-11-12 13:38:00,2013-11-12 13:39:00,Other,1.0,4394.333333333333,183,11,0,5,2013,False
75,application,Web Based Application,IM0000117,4,4,4.0,0.098705575,incident,7.0,2013-05-15 12:34:00,2014-03-05 08:34:00,2014-03-05 08:34:00,Software,2.0,7052.0,293,12,2,5,2013,False
76,application,Server Based Application,IM0000120,3,3,3.0,0.231178197,incident,6.0,2013-05-22 00:42:00,2013-10-10 12:53:00,2014-01-17 15:00:00,Unknown,1.0,5774.3,240,0,2,5,2013,False
77,application,Web Based Application,IM0000121,4,4,4.0,0.617566356,incident,2.0,2013-05-22 10:09:00,2013-11-12 13:36:00,2013-11-12 13:36:00,Other,1.0,4179.45,174,10,2,5,2013,False
78,application,Server Based Application,IM0000122,4,4,4.0,0.564637939,incident,22.0,2013-05-22 11:21:00,2013-10-10 12:53:00,2013-10-14 14:15:00,Other,7.0,3482.9,145,11,2,5,2013,False
79,application,Web Based Application,IM0000123,5,5,5.0,0.344261805,incident,10.0,2013-05-22 12:01:00,2013-11-12 14:06:00,2013-11-12 14:06:00,Other,1.0,4178.083333333333,174,12,2,5,2013,False
80,application,Web Based Application,IM0000124,4,4,4.0,0.231572675,incident,4.0,2013-05-22 14:15:00,2013-11-12 14:05:00,2013-11-12 14:05:00,Unknown,1.0,4175.833333333333,173,14,2,5,2013,False
81,application,Server Based Application,IM0000125,3,3,3.0,0.527580856,incident,3.0,2013-05-23 10:48:00,2013-10-10 14:48:00,2013-10-10 14:49:00,Other,1.0,3364.016666666667,140,10,3,5,2013,False
82,application,Web Based Application,IM0000126,4,4,4.0,0.765434029,incident,2.0,2013-05-23 14:38:00,2013-11-12 13:37:00,2013-11-12 13:37:00,Other,1.0,4150.983333333334,172,14,3,5,2013,False
83,application,Server Based Application,IM0000127,3,3,3.0,0.338412806,incident,1.0,2013-05-24 08:05:00,2013-10-17 14:23:00,2013-10-17 14:23:00,Other,3.0,3510.3,146,8,4,5,2013,False
84,application,Web Based Application,IM0000128,4,4,4.0,0.714684316,incident,0.0,2013-05-24 09:34:00,2013-12-05 08:27:00,2013-12-05 08:28:00,Other,3.0,4678.9,194,9,4,5,2013,False
85,application,Server Based Application,IM0000129,4,4,4.0,0.734281231,request for information,10.0,2013-05-27 10:44:00,2014-01-16 15:12:00,2014-01-16 15:12:00,Software,1.0,5620.466666666666,234,10,0,5,2013,False
86,subapplication,Web Based Application,IM0000130,4,4,4.0,0.084297089,incident,2.0,2013-05-27 15:38:00,2013-11-12 13:41:00,2013-11-12 13:41:00,Other,1.0,4054.05,168,15,0,5,2013,False
87,application,Server Based Application,IM0000131,5,5,5.0,0.48018606,incident,5.0,2013-05-27 16:28:00,2013-11-05 10:36:00,2013-11-05 10:36:00,No error - works as designed,1.0,3882.133333333333,161,16,0,5,2013,False
88,application,SAP,IM0000132,5,5,5.0,0.959622117,request for information,12.0,2013-05-29 09:15:00,2013-10-10 13:40:00,2013-10-10 13:40:00,Software,1.0,3220.4166666666665,134,9,2,5,2013,False
89,application,Server Based Application,IM0000133,5,5,5.0,0.199091024,request for information,6.0,2013-05-30 14:28:00,2013-11-05 15:15:00,2013-11-05 15:15:00,Other,2.0,3816.7833333333333,159,14,3,5,2013,False
90,application,Web Based Application,IM0000134,3,3,3.0,0.351627289,incident,2.0,2013-05-31 09:20:00,2013-11-12 13:42:00,2013-11-12 13:43:00,Other,1.0,3964.383333333333,165,9,4,5,2013,False
91,subapplication,Web Based Application,IM0000135,4,4,4.0,0.099276903,incident,4.0,2013-06-03 10:09:00,2013-11-12 13:47:00,2013-11-12 13:47:00,Other,1.0,3891.633333333333,162,10,0,6,2013,False
92,application,Web Based Application,IM0000136,4,4,4.0,0.992261495,incident,2.0,2013-06-04 09:25:00,2013-11-12 13:38:00,2013-11-12 13:38:00,Other,1.0,3868.2166666666667,161,9,1,6,2013,False
93,application,Web Based Application,IM0000137,4,4,4.0,0.360881069,incident,2.0,2013-06-04 10:00:00,2013-11-12 13:42:00,2013-11-12 13:42:00,Other,1.0,3867.7,161,10,1,6,2013,False
94,application,Server Based Application,IM0000139,4,4,4.0,0.56691083,incident,3.0,2013-06-04 16:13:00,2014-01-29 10:47:00,2014-01-29 10:47:00,Unknown,2.0,5730.566666666667,238,16,1,6,2013,False
95,subapplication,Web Based Application,IM0000140,5,5,5.0,0.399095833,incident,1.0,2013-06-05 08:24:00,2013-11-20 16:43:00,2013-11-20 16:43:00,Software,1.0,4040.3166666666666,168,8,2,6,2013,False
96,application,SAP,IM0000142,5,5,5.0,0.602360706,request for information,15.0,2013-06-06 08:54:00,2013-10-23 17:21:00,2013-10-23 17:21:00,Questions,2.0,3344.45,139,8,3,6,2013,False
97,application,Server Based Application,IM0000143,4,4,4.0,0.428121508,incident,6.0,2013-06-06 11:14:00,2013-12-04 14:54:00,2013-12-04 14:54:00,Operator error,4.0,4347.666666666667,181,11,3,6,2013,False
98,application,Web Based Application,IM0000145,4,5,4.0,0.587638286,incident,15.0,2013-06-10 08:53:00,2013-11-15 15:27:00,2013-11-15 15:27:00,Unknown,1.0,3798.5666666666666,158,8,0,6,2013,False
99,application,Standard Application,IM0000146,3,3,3.0,0.939614352,incident,3.0,2013-06-10 13:00:00,2014-01-29 14:30:00,2014-01-29 14:31:00,Other,1.0,5593.516666666666,233,13,0,6,2013,False
100,application,Web Based Application,IM0000147,4,4,4.0,0.139540592,incident,26.0,2013-06-10 16:33:00,2013-11-12 14:18:00,2013-11-12 14:18:00,No error - works as designed,1.0,3717.75,154,16,0,6,2013,False
101,application,Web Based Application,IM0000148,4,4,4.0,0.402756938,incident,2.0,2013-06-10 16:44:00,2013-11-12 13:42:00,2013-11-12 13:43:00,Other,1.0,3716.983333333333,154,16,0,6,2013,False
102,application,Web Based Application,IM0000149,4,4,4.0,0.884999664,incident,5.0,2013-06-11 10:28:00,2013-10-16 14:09:00,2013-10-16 14:09:00,Software,2.0,3051.6833333333334,127,10,1,6,2013,False
103,application,Server Based Application,IM0000151,4,3,4.0,0.610829367,incident,1.0,2013-06-11 16:17:00,2013-10-17 15:03:00,2013-10-17 15:03:00,Other,1.0,3070.766666666667,127,16,1,6,2013,False
104,application,Web Based Application,IM0000152,4,4,4.0,0.686274493,incident,7.0,2013-06-12 16:48:00,2013-11-12 14:05:00,2013-11-12 14:05:00,Other,1.0,3669.2833333333333,152,16,2,6,2013,False
105,application,Web Based Application,IM0000153,4,4,4.0,0.135839878,incident,2.0,2013-06-12 14:57:00,2013-11-12 13:44:00,2013-11-12 13:44:00,Other,1.0,3670.7833333333333,152,14,2,6,2013,False
106,subapplication,Web Based Application,IM0000154,4,4,4.0,0.289314694,incident,2.0,2013-06-13 10:23:00,2013-11-04 14:00:00,2013-11-04 14:01:00,Unknown,5.0,3459.633333333333,144,10,3,6,2013,False
107,application,Server Based Application,IM0000155,3,3,3.0,0.527348581,incident,1.0,2013-06-13 10:42:00,2013-12-09 15:05:00,2013-12-09 15:05:00,Other,1.0,4300.383333333333,179,10,3,6,2013,False
108,application,SAP,IM0000156,5,5,5.0,0.65449422,incident,9.0,2013-06-13 11:48:00,2013-12-18 09:09:00,2013-12-18 09:10:00,Other,1.0,4509.366666666667,187,11,3,6,2013,False
109,application,Server Based Application,IM0000157,5,5,5.0,0.643286309,incident,2.0,2013-06-14 13:42:00,2013-11-21 10:24:00,2013-11-21 10:25:00,Software,2.0,3836.7166666666667,159,13,4,6,2013,False
110,application,Web Based Application,IM0000158,3,3,3.0,0.20223863,incident,2.0,2013-06-17 11:11:00,2013-11-12 13:46:00,2013-11-12 13:46:00,Other,1.0,3554.5833333333335,148,11,0,6,2013,False
111,application,Web Based Application,IM0000159,4,4,4.0,0.827583428,incident,4.0,2013-06-17 14:47:00,2013-11-12 13:46:00,2013-11-12 13:46:00,Other,1.0,3550.983333333333,147,14,0,6,2013,False
112,application,Web Based Application,IM0000160,5,5,5.0,0.839190322,request for information,8.0,2013-06-18 13:44:00,2013-11-12 14:33:00,2013-11-12 14:33:00,Other,1.0,3528.8166666666666,147,13,1,6,2013,False
113,application,Web Based Application,IM0000161,4,4,4.0,0.508676128,incident,6.0,2013-06-19 05:54:00,2013-11-08 15:06:00,2013-11-08 15:06:00,Software,1.0,3417.2,142,5,2,6,2013,False
114,application,Web Based Application,IM0000162,5,5,5.0,0.9836344,incident,0.0,2013-06-19 15:33:00,2013-10-10 12:53:00,2013-10-10 17:26:00,Software,4.0,2713.883333333333,113,15,2,6,2013,False
115,computer,Windows Server,IM0000163,4,4,4.0,0.385271533,incident,7.0,2013-06-19 15:46:00,2014-02-13 15:14:00,2014-02-13 15:14:00,Software,1.0,5735.466666666666,238,15,2,6,2013,False
116,application,Web Based Application,IM0000164,5,5,5.0,0.4033218,incident,6.0,2013-06-20 13:01:00,2014-02-05 07:32:00,2014-02-05 07:33:00,No error - works as designed,2.0,5514.533333333334,229,13,3,6,2013,False
117,application,Web Based Application,IM0000166,4,4,4.0,0.307174989,incident,2.0,2013-06-24 14:43:00,2013-11-12 13:51:00,2013-11-12 13:51:00,Other,1.0,3383.133333333333,140,14,0,6,2013,False
118,application,Web Based Application,IM0000167,4,4,4.0,0.648836001,incident,2.0,2013-06-26 11:36:00,2013-11-12 13:47:00,2013-11-12 13:47:00,Other,1.0,3338.1833333333334,139,11,2,6,2013,False
119,application,Standard Application,IM0000168,5,5,5.0,0.875886097,incident,2.0,2013-06-26 12:09:00,2013-11-18 09:14:00,2013-11-18 09:15:00,Software,1.0,3477.1,144,12,2,6,2013,False
120,application,Web Based Application,IM0000170,4,4,4.0,0.889155739,incident,13.0,2013-06-27 10:11:00,2014-02-13 15:17:00,2014-02-13 15:17:00,Other,2.0,5549.1,231,10,3,6,2013,False
121,subapplication,Web Based Application,IM0000171,3,3,3.0,0.540691699,incident,6.0,2013-06-27 10:24:00,2013-11-12 15:27:00,2013-11-12 15:27:00,Software,1.0,3317.05,138,10,3,6,2013,False
122,application,Web Based Application,IM0000172,4,4,4.0,0.586489663,incident,4.0,2013-06-27 12:51:00,2013-11-12 13:49:00,2013-11-12 13:49:00,Other,1.0,3312.9666666666667,138,12,3,6,2013,False
123,application,Server Based Application,IM0000173,3,3,3.0,0.881855936,incident,1.0,2013-06-28 07:52:00,2013-12-09 15:07:00,2013-12-09 15:08:00,Software,1.0,3943.266666666667,164,7,4,6,2013,False
124,application,Server Based Application,IM0000174,5,5,5.0,0.884553926,incident,1.0,2013-06-28 08:42:00,2014-01-08 15:24:00,2014-01-08 15:24:00,Software,1.0,4662.7,194,8,4,6,2013,False
125,application,Web Based Application,IM0000175,4,4,4.0,0.955693081,incident,2.0,2013-06-28 09:11:00,2013-11-12 14:08:00,2013-11-12 14:09:00,No error - works as designed,1.0,3292.9666666666667,137,9,4,6,2013,False
126,subapplication,Server Based Application,IM0000176,3,3,3.0,0.91246942,incident,3.0,2013-06-28 12:06:00,2013-10-04 13:47:00,2013-10-04 14:23:00,Unknown,1.0,2354.2833333333333,98,12,4,6,2013,False
127,application,Web Based Application,IM0000177,4,4,4.0,0.038186122,incident,2.0,2013-07-01 11:30:00,2013-11-12 13:49:00,2013-11-12 13:49:00,Other,1.0,3218.3166666666666,134,11,0,7,2013,False
128,application,Web Based Application,IM0000178,4,4,4.0,0.752879126,incident,6.0,2013-07-01 14:25:00,2013-12-19 11:19:00,2013-12-19 11:19:00,Software,1.0,4100.9,170,14,0,7,2013,False
129,subapplication,Web Based Application,IM0000179,4,4,4.0,0.477671355,incident,3.0,2013-07-02 11:22:00,2014-02-17 12:58:00,2014-02-17 12:58:00,Software,1.0,5521.6,230,11,1,7,2013,False
